segment,target,order,iterations,learning_rate,train_rmse,test_rmse,mape,status
DEALER,net_sales,1,500,0.001,2860.141040278473,67560.9027224371,545.9877809739244,success
DEALER,returns,1,500,0.001,1138.017858997073,16646.470871609803,1231.011501407148,success
OEM,net_sales,1,500,0.001,273.2622614757669,321.1624110334399,37.98367803397293,success
OEM,returns,1,500,0.001,171.24050367176454,152010.39902313863,inf,success
PROFESSIONAL END-USERS,net_sales,1,500,0.001,115.41278936179681,294.5945097995682,9.29015641772474,success
PROFESSIONAL END-USERS,returns,1,500,0.001,83.81557090148793,156.48416844913177,37.15898736716427,success
DEALER,net_sales,1,500,0.01,2846.828181660857,66927.92121986912,540.9594717122463,success
DEALER,returns,1,500,0.01,1119.9140656066222,12354.846782412003,899.1451620390718,success
OEM,net_sales,1,500,0.01,277.1614290989267,321.7106294604384,37.637952872403815,success
OEM,returns,1,500,0.01,169.75965801594967,140554.50819952198,inf,success
PROFESSIONAL END-USERS,net_sales,1,500,0.01,116.83776299436016,295.0278607409931,9.304177737131992,success
PROFESSIONAL END-USERS,returns,1,500,0.01,85.35383344211233,161.37761634852944,38.68905577013584,success
DEALER,net_sales,1,1000,0.001,2860.239452592744,67986.64256116605,549.2514933363897,success
DEALER,returns,1,1000,0.001,1138.9199256277889,16966.278577856003,1255.863197597205,success
OEM,net_sales,1,1000,0.001,275.71652334057393,321.43646129581253,37.73709394825599,success
OEM,returns,1,1000,0.001,171.24784624681655,152069.8431116227,inf,success
PROFESSIONAL END-USERS,net_sales,1,1000,0.001,116.22405891748002,294.82391786607013,9.29763027980066,success
PROFESSIONAL END-USERS,returns,1,1000,0.001,83.81411325831105,156.4767371247253,37.15662925155289,success
DEALER,net_sales,1,1000,0.01,2846.828181660857,66927.92121986912,540.9594717122463,success
DEALER,returns,1,1000,0.01,1119.9140656066222,12354.846782412003,899.1451620390718,success
OEM,net_sales,1,1000,0.01,277.16142910552225,321.710629462613,37.63795287170693,success
OEM,returns,1,1000,0.01,169.75965801594967,140554.50819952198,inf,success
PROFESSIONAL END-USERS,net_sales,1,1000,0.01,116.83776299436016,295.0278607409931,9.304177737131992,success
PROFESSIONAL END-USERS,returns,1,1000,0.01,85.35383344211233,161.37761634852944,38.68905577013584,success
DEALER,net_sales,2,500,0.001,2854.8871359895716,21497.563375576443,194.31874499275548,success
DEALER,returns,2,500,0.001,3037.921012761338,930761.9244579732,72611.5916393986,success
OEM,net_sales,2,500,0.001,278.6851922312724,327.66302791912506,36.04031766413765,success
OEM,returns,2,500,0.001,215.30054224026014,608244.3610989017,inf,success
PROFESSIONAL END-USERS,net_sales,2,500,0.001,118.54582273855394,303.32262977127743,9.587796035087191,success
PROFESSIONAL END-USERS,returns,2,500,0.001,224.09186450319177,218.65613715506416,65.29109750273992,success
DEALER,net_sales,2,500,0.01,2860.959681451155,22084.184199778127,199.54680096978177,success
DEALER,returns,2,500,0.01,3177.5462807270133,1343991.107259919,105310.26519151358,success
OEM,net_sales,2,500,0.01,281.0174717766117,327.51007737731607,36.196475266293035,success
OEM,returns,2,500,0.01,211.33197785770707,850046.8451065107,inf,success
PROFESSIONAL END-USERS,net_sales,2,500,0.01,118.46927509909672,304.0299258380681,9.61057829206217,success
PROFESSIONAL END-USERS,returns,2,500,0.01,232.8261713710266,322.2698162932107,96.79691410961496,success
DEALER,net_sales,2,1000,0.001,2870.552326929351,22761.79874142074,204.93898594635507,success
DEALER,returns,2,1000,0.001,2985.919405756823,1102479.21120583,86287.97172496724,success
OEM,net_sales,2,1000,0.001,281.03755603894405,327.7911054923031,36.164827470480034,success
OEM,returns,2,1000,0.001,213.5962480991538,1024980.6487404119,inf,success
PROFESSIONAL END-USERS,net_sales,2,1000,0.001,121.73914169650956,304.61121150759436,9.629617716813115,success
PROFESSIONAL END-USERS,returns,2,1000,0.001,226.21504105067098,234.52512610828038,70.37452586127485,success
DEALER,net_sales,2,1000,0.01,2860.959681451155,22084.184199778127,199.54680096978177,success
DEALER,returns,2,1000,0.01,3177.5462807270133,1343991.107259919,105310.26519151358,success
OEM,net_sales,2,1000,0.01,281.01747177662253,327.51007737730595,36.19647526629299,success
OEM,returns,2,1000,0.01,211.3588437955695,851793.3769465149,inf,success
PROFESSIONAL END-USERS,net_sales,2,1000,0.01,118.46927510097156,304.0299258459455,9.610578292328443,success
PROFESSIONAL END-USERS,returns,2,1000,0.01,232.8261713710266,322.2698162932107,96.79691410961496,success
DEALER,net_sales,3,500,0.001,3053.2512460011208,735286.8253485772,5869.109045157552,success
DEALER,returns,3,500,0.001,1102.1261906626348,39492.06124779035,3015.198456537872,success
OEM,net_sales,3,500,0.001,206.82257605177548,409.7703527347142,49.60244725031442,success
OEM,returns,3,500,0.001,127.55491763530097,108836.18377458813,inf,success
PROFESSIONAL END-USERS,net_sales,3,500,0.001,83.15980947042189,290.3427811223501,9.17221992893484,success
PROFESSIONAL END-USERS,returns,3,500,0.001,364.728512940095,1481.5178332479088,455.6146233058439,success
DEALER,net_sales,3,500,0.01,3155.2709930223377,1612573.4852406387,12539.633087661543,success
DEALER,returns,3,500,0.01,1332.7060224824522,141353.46212543038,10955.933647244427,success
OEM,net_sales,3,500,0.01,242.32249238472755,2050.554078363417,195.07993599989618,success
OEM,returns,3,500,0.01,131.26174812952925,159503.9145118874,inf,success
PROFESSIONAL END-USERS,net_sales,3,500,0.01,77.77277606414746,291.75203335040453,9.222204299972487,success
PROFESSIONAL END-USERS,returns,3,500,0.01,380.2396634051734,1627.7916478363618,500.78502194275137,success
DEALER,net_sales,3,1000,0.001,3135.6655838332563,1148509.677477684,9046.328792652374,success
DEALER,returns,3,1000,0.001,1228.9410344147702,86623.00265218854,6680.730950909856,success
OEM,net_sales,3,1000,0.001,225.257970921441,823.5390524221324,92.07396479463327,success
OEM,returns,3,1000,0.001,129.40759615842555,121382.48046190923,inf,success
PROFESSIONAL END-USERS,net_sales,3,1000,0.001,82.55892034979605,293.3597822398476,9.273702455792792,success
PROFESSIONAL END-USERS,returns,3,1000,0.001,364.7211210812696,1484.3591961450313,456.53078129190067,success
DEALER,net_sales,3,1000,0.01,3155.27865288657,1612748.4942055654,12540.942685920965,success
DEALER,returns,3,1000,0.01,1332.706992033778,141353.88364610527,10955.966553743012,success
OEM,net_sales,3,1000,0.01,242.3430850947078,2052.754624568163,195.25499193784634,success
OEM,returns,3,1000,0.01,131.26266535404608,159519.94543329874,inf,success
PROFESSIONAL END-USERS,net_sales,3,1000,0.01,77.65221885664124,291.8182520575058,9.224425618731026,success
PROFESSIONAL END-USERS,returns,3,1000,0.01,380.23966340517336,1627.7916478363543,500.78502194274915,success
